Date,AAPL,JPM,MSFT,SPY
2020-01-02,72.4005126953125,119.03641510009766,152.15838623046875,297.6990661621094
2020-01-03,71.6966323852539,117.4655990600586,150.26373291015625,295.44476318359375
2020-01-06,72.26793670654297,117.37216186523438,150.65219116210938,296.5719299316406
2020-01-07,71.92805480957031,115.37678527832031,149.278564453125,295.7380065917969
2020-01-08,73.0851058959961,116.27682495117188,151.65634155273438,297.3141174316406
2020-01-09,74.63748931884766,116.70137786865234,153.5509490966797,299.330078125
2020-01-10,74.80623626708984,115.53809356689453,152.84048461914062,298.4687194824219
2020-01-13,76.40442657470703,116.49761199951172,154.6782684326172,300.52142333984375
2020-01-14,75.37271881103516,117.85615539550781,153.58888244628906,300.063232421875
2020-01-15,75.04969024658203,116.09000396728516,154.58349609375,300.7413024902344
2020-01-16,75.98981475830078,116.54004669189453,157.416015625,303.24298095703125
2020-01-17,76.83109283447266,117.3467025756836,158.29702758789062,304.1868896484375
2020-01-21,76.3104019165039,116.19187927246094,157.7286376953125,303.5912170410156
2020-01-22,76.58279418945312,116.05606842041016,156.97079467773438,303.6278381347656
2020-01-23,76.95162963867188,115.93717193603516,157.9370574951172,303.97607421875
2020-01-24,76.72982788085938,113.05868530273438,156.3455352783203,301.2727966308594
2020-01-27,74.47357940673828,112.10769653320312,153.73095703125,296.4435729980469
2020-01-28,76.58038330078125,114.14554595947266,156.74343872070312,299.5500183105469
2020-01-29,78.18338775634766,113.9757080078125,159.18748474121094,299.30255126953125
2020-01-30,78.07011413574219,115.38528442382812,163.6777801513672,300.27398681640625
2020-01-31,74.60857391357422,112.38790893554688,161.2621307373047,294.8216552734375
2020-02-03,74.4036636352539,113.2455062866211,165.19349670410156,297.0116882324219
2020-02-04,76.86002349853516,114.87580108642578,170.63111877441406,301.53851318359375
2020-02-05,77.48674774169922,116.82874298095703,170.4227294921875,305.02069091796875
2020-02-06,78.39311981201172,116.84573364257812,173.9561767578125,306.0470275878906
2020-02-07,77.3275375366211,116.47212982177734,174.20249938964844,304.4159240722656
2020-02-10,77.69480895996094,116.95611572265625,178.75914001464844,306.6885070800781
2020-02-11,77.22605895996094,117.17687225341797,174.7235107421875,307.2200012207031
2020-02-12,79.06002807617188,117.17687225341797,174.9793243408203,309.1993103027344
2020-02-13,78.49701690673828,117.0749740600586,174.0320281982422,308.86944580078125
